Conversation_ID,Domain,Turn,Speaker,Sentence,Sentiment,Intent,Rule_Category,Specific_Rule,Violation,Risk_Level
C11,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Serious,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C11,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C12,Debt Collection,1,Agent,I need to inform you that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C12,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C13,Debt Collection,1,Agent,I need to inform you that Third-party disclosure of debt.,Serious,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C13,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C14,Debt Collection,1,Agent,Please note that Calling before 8 AM or after 9 PM.,Neutral,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C14,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C15,Debt Collection,1,Agent,I want to explain that Harassment through repeated calls.,Helpful,Statement,FDCPA,Harassment through repeated calls,Yes,High
C15,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C16,Debt Collection,1,Agent,I want to explain that Calling before 8 AM or after 9 PM.,Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C16,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C17,Debt Collection,1,Agent,Please note that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C17,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C18,Debt Collection,1,Agent,I need to inform you that Providing mini-miranda disclosure.,Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C18,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C19,Debt Collection,1,Agent,"For your information, Harassment through repeated calls.",Helpful,Statement,FDCPA,Harassment through repeated calls,Yes,High
C19,Debt Collection,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C20,Debt Collection,1,Agent,I want to explain that Providing debt validation notice.,Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C20,Debt Collection,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C21,Debt Collection,1,Agent,Please note that Providing debt validation notice.,Helpful,Statement,FDCPA,Providing debt validation notice,No,Low
C21,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C22,Debt Collection,1,Agent,Please note that Providing debt validation notice.,Neutral,Statement,FDCPA,Providing debt validation notice,No,Low
C22,Debt Collection,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C23,Debt Collection,1,Agent,Please note that Harassment through repeated calls.,Serious,Statement,FDCPA,Harassment through repeated calls,Yes,High
C23,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C24,Debt Collection,1,Agent,Our records indicate that Calling before 8 AM or after 9 PM.,Threatening,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C24,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C25,Debt Collection,1,Agent,"For your information, Refusing debt validation request.",Neutral,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C25,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C26,Debt Collection,1,Agent,I need to inform you that Threat of arrest for unpaid civil debt.,Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C26,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C27,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C27,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C28,Debt Collection,1,Agent,I want to explain that Refusing debt validation request.,Helpful,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C28,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C29,Debt Collection,1,Agent,Please note that Third-party disclosure of debt.,Helpful,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C29,Debt Collection,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C30,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C30,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C31,Debt Collection,1,Agent,I want to explain that Calling before 8 AM or after 9 PM.,Neutral,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C31,Debt Collection,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C32,Debt Collection,1,Agent,"For your information, Providing debt validation notice.",Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C32,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C33,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Threatening,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C33,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C34,Debt Collection,1,Agent,I need to inform you that Threat of arrest for unpaid civil debt.,Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C34,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C35,Debt Collection,1,Agent,I want to explain that Refusing debt validation request.,Threatening,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C35,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C36,Debt Collection,1,Agent,I need to inform you that Third-party disclosure of debt.,Helpful,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C36,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C37,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Serious,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C37,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C38,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Helpful,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C38,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C39,Debt Collection,1,Agent,I want to explain that Refusing debt validation request.,Helpful,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C39,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C40,Debt Collection,1,Agent,"For your information, Providing debt validation notice.",Neutral,Statement,FDCPA,Providing debt validation notice,No,Low
C40,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C41,Debt Collection,1,Agent,I want to explain that Providing mini-miranda disclosure.,Helpful,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C41,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C42,Debt Collection,1,Agent,I need to inform you that Calling before 8 AM or after 9 PM.,Neutral,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C42,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C43,Debt Collection,1,Agent,Our records indicate that Threat of arrest for unpaid civil debt.,Serious,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C43,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C44,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C44,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C45,Debt Collection,1,Agent,Our records indicate that Harassment through repeated calls.,Neutral,Statement,FDCPA,Harassment through repeated calls,Yes,High
C45,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C46,Debt Collection,1,Agent,Our records indicate that Refusing debt validation request.,Serious,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C46,Debt Collection,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C47,Debt Collection,1,Agent,I need to inform you that Calling before 8 AM or after 9 PM.,Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C47,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C48,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Serious,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C48,Debt Collection,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C49,Debt Collection,1,Agent,Please note that Refusing debt validation request.,Helpful,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C49,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C50,Debt Collection,1,Agent,Please note that Providing mini-miranda disclosure.,Helpful,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C50,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C51,Debt Collection,1,Agent,Our records indicate that Calling before 8 AM or after 9 PM.,Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C51,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C52,Debt Collection,1,Agent,I need to inform you that Threat of arrest for unpaid civil debt.,Serious,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C52,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C53,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Helpful,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C53,Debt Collection,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C54,Debt Collection,1,Agent,I need to inform you that Refusing debt validation request.,Serious,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C54,Debt Collection,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C55,Debt Collection,1,Agent,"For your information, Third-party disclosure of debt.",Helpful,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C55,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C56,Debt Collection,1,Agent,Please note that Harassment through repeated calls.,Neutral,Statement,FDCPA,Harassment through repeated calls,Yes,High
C56,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C57,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C57,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C58,Debt Collection,1,Agent,Our records indicate that Threat of arrest for unpaid civil debt.,Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C58,Debt Collection,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C59,Debt Collection,1,Agent,Our records indicate that Harassment through repeated calls.,Helpful,Statement,FDCPA,Harassment through repeated calls,Yes,High
C59,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C60,Debt Collection,1,Agent,I want to explain that Refusing debt validation request.,Threatening,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C60,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C61,Debt Collection,1,Agent,"For your information, Providing debt validation notice.",Serious,Statement,FDCPA,Providing debt validation notice,No,Low
C61,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C62,Debt Collection,1,Agent,Our records indicate that Providing debt validation notice.,Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C62,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C63,Debt Collection,1,Agent,"For your information, Threat of arrest for unpaid civil debt.",Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C63,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C64,Debt Collection,1,Agent,"For your information, Providing mini-miranda disclosure.",Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C64,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C65,Debt Collection,1,Agent,I want to explain that Threat of arrest for unpaid civil debt.,Serious,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C65,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C66,Debt Collection,1,Agent,Please note that Providing debt validation notice.,Neutral,Statement,FDCPA,Providing debt validation notice,No,Low
C66,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C67,Debt Collection,1,Agent,I want to explain that Calling before 8 AM or after 9 PM.,Neutral,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C67,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C68,Debt Collection,1,Agent,Our records indicate that Providing debt validation notice.,Helpful,Statement,FDCPA,Providing debt validation notice,No,Low
C68,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C69,Debt Collection,1,Agent,Please note that Providing debt validation notice.,Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C69,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C70,Debt Collection,1,Agent,I want to explain that Refusing debt validation request.,Neutral,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C70,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C71,Debt Collection,1,Agent,"For your information, Refusing debt validation request.",Serious,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C71,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C72,Debt Collection,1,Agent,I want to explain that Calling before 8 AM or after 9 PM.,Neutral,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C72,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C73,Debt Collection,1,Agent,"For your information, Threat of arrest for unpaid civil debt.",Neutral,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C73,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C74,Debt Collection,1,Agent,I want to explain that Providing mini-miranda disclosure.,Serious,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C74,Debt Collection,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C75,Debt Collection,1,Agent,"For your information, Providing debt validation notice.",Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C75,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C76,Debt Collection,1,Agent,Please note that Providing debt validation notice.,Neutral,Statement,FDCPA,Providing debt validation notice,No,Low
C76,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C77,Debt Collection,1,Agent,Please note that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C77,Debt Collection,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C78,Debt Collection,1,Agent,I need to inform you that Calling before 8 AM or after 9 PM.,Helpful,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C78,Debt Collection,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C79,Debt Collection,1,Agent,Please note that Providing debt validation notice.,Serious,Statement,FDCPA,Providing debt validation notice,No,Low
C79,Debt Collection,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C80,Debt Collection,1,Agent,I want to explain that Providing mini-miranda disclosure.,Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C80,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C81,Debt Collection,1,Agent,Our records indicate that Providing mini-miranda disclosure.,Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C81,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C82,Debt Collection,1,Agent,I want to explain that Harassment through repeated calls.,Threatening,Statement,FDCPA,Harassment through repeated calls,Yes,High
C82,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C83,Debt Collection,1,Agent,I need to inform you that Refusing debt validation request.,Serious,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C83,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C84,Debt Collection,1,Agent,"For your information, Refusing debt validation request.",Threatening,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C84,Debt Collection,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C85,Debt Collection,1,Agent,"For your information, Providing mini-miranda disclosure.",Helpful,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C85,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C86,Debt Collection,1,Agent,Please note that Calling before 8 AM or after 9 PM.,Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C86,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C87,Debt Collection,1,Agent,I want to explain that Providing mini-miranda disclosure.,Helpful,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C87,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C88,Debt Collection,1,Agent,I want to explain that Threat of arrest for unpaid civil debt.,Helpful,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C88,Debt Collection,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C89,Debt Collection,1,Agent,I need to inform you that Refusing debt validation request.,Helpful,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C89,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C90,Debt Collection,1,Agent,I need to inform you that Providing mini-miranda disclosure.,Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C90,Debt Collection,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C91,Debt Collection,1,Agent,Our records indicate that Calling before 8 AM or after 9 PM.,Helpful,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C91,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C92,Debt Collection,1,Agent,I need to inform you that Harassment through repeated calls.,Helpful,Statement,FDCPA,Harassment through repeated calls,Yes,High
C92,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C93,Debt Collection,1,Agent,Please note that Providing mini-miranda disclosure.,Neutral,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C93,Debt Collection,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C94,Debt Collection,1,Agent,I want to explain that Threat of arrest for unpaid civil debt.,Neutral,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C94,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C95,Debt Collection,1,Agent,I want to explain that Threat of arrest for unpaid civil debt.,Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C95,Debt Collection,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C96,Debt Collection,1,Agent,Our records indicate that Harassment through repeated calls.,Threatening,Statement,FDCPA,Harassment through repeated calls,Yes,High
C96,Debt Collection,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C97,Debt Collection,1,Agent,Our records indicate that Refusing debt validation request.,Serious,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C97,Debt Collection,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C98,Debt Collection,1,Agent,"For your information, Providing debt validation notice.",Helpful,Statement,FDCPA,Providing debt validation notice,No,Low
C98,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C99,Debt Collection,1,Agent,I need to inform you that Providing debt validation notice.,Neutral,Statement,FDCPA,Providing debt validation notice,No,Low
C99,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C100,Debt Collection,1,Agent,I need to inform you that Calling before 8 AM or after 9 PM.,Threatening,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C100,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C101,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Neutral,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C101,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C102,Debt Collection,1,Agent,Our records indicate that Refusing debt validation request.,Serious,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C102,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C103,Debt Collection,1,Agent,I need to inform you that Calling before 8 AM or after 9 PM.,Threatening,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C103,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C104,Debt Collection,1,Agent,"For your information, Third-party disclosure of debt.",Threatening,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C104,Debt Collection,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C105,Debt Collection,1,Agent,Please note that Providing mini-miranda disclosure.,Helpful,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C105,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C106,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C106,Debt Collection,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C107,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C107,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C108,Debt Collection,1,Agent,I need to inform you that Harassment through repeated calls.,Neutral,Statement,FDCPA,Harassment through repeated calls,Yes,High
C108,Debt Collection,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C109,Debt Collection,1,Agent,Our records indicate that Threat of arrest for unpaid civil debt.,Neutral,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C109,Debt Collection,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C110,Debt Collection,1,Agent,Our records indicate that Threat of arrest for unpaid civil debt.,Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C110,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C111,Debt Collection,1,Agent,I want to explain that Third-party disclosure of debt.,Neutral,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C111,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C112,Debt Collection,1,Agent,"For your information, Threat of arrest for unpaid civil debt.",Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C112,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C113,Debt Collection,1,Agent,Our records indicate that Providing debt validation notice.,Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C113,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C114,Debt Collection,1,Agent,"For your information, Harassment through repeated calls.",Neutral,Statement,FDCPA,Harassment through repeated calls,Yes,High
C114,Debt Collection,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C115,Debt Collection,1,Agent,I need to inform you that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C115,Debt Collection,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C116,Debt Collection,1,Agent,I need to inform you that Refusing debt validation request.,Helpful,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C116,Debt Collection,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C117,Debt Collection,1,Agent,I need to inform you that Third-party disclosure of debt.,Helpful,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C117,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C118,Debt Collection,1,Agent,"For your information, Harassment through repeated calls.",Serious,Statement,FDCPA,Harassment through repeated calls,Yes,High
C118,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C119,Debt Collection,1,Agent,I want to explain that Calling before 8 AM or after 9 PM.,Threatening,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C119,Debt Collection,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C120,Debt Collection,1,Agent,Our records indicate that Threat of arrest for unpaid civil debt.,Threatening,Statement,FDCPA,Threat of arrest for unpaid civil debt,Yes,High
C120,Debt Collection,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C121,Credit Reporting,1,Agent,"For your information, Correcting inaccurate credit report.",Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C121,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C122,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C122,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C123,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C123,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
